Date,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
1/28/2022,734.85,693.7375,681.375,660.3875,711.275,738.875,736.2875,771.65,794.075,791.4875,820.8125,835.7625,825.125,834.6125,841.5125,830.0125,805,775.3875,768.4875,754.975,756.9875,765.0375,714.725,698.3375
1/29/2022,713.8625,671.6,659.2375,656.3625,715.3,735.7125,731.975,747.2125,784.5875,799.25,799.5375,808.7375,774.525,816.2125,830.3,832.8875,808.1625,767.625,785.1625,770.5,764.75,751.2375,738.875,754.4
1/30/2022,742.6125,704.0875,700.35,693.45,731.6875,760.15,729.3875,719.325,757.85,790.05,808.45,791.4875,784.3,775.9625,779.9875,771.075,728.525,742.9,752.675,751.2375,754.1125,766.475,740.3125,731.6875
1/31/2022,712.1375,694.6,697.475,690,711.5625,727.0875,679.3625,710.9875,743.475,773.95,794.075,788.9,792.6375,779.7,797.8125,775.1,759.2875,759.8625,764.75,780.275,788.9,782.8625,782,764.75
2/1/2022,751.2375,713.2875,708.4,696.0375,712.1375,752.1,753.25,769.925,794.65,823.975,824.2625,839.7875,823.6875,819.375,830.875,808.7375,778.8375,746.6375,768.775,799.5375,746.925,771.65,757.275,774.2375
2/2/2022,738.3,711.5625,717.3125,702.075,725.3625,755.55,740.6,753.825,740.025,828,817.65,805.575,778.55,788.0375,809.6,808.7375,802.125,743.475,783.15,781.1375,787.4625,762.7375,774.2375,785.7375
2/3/2022,757.85,723.0625,706.1,705.525,675.3375,742.6125,709.2625,761.3,801.2625,839.2125,825.7,788.6125,750.375,771.65,823.6875,794.3625,836.3375,798.3875,825.125,803.85,830.875,809.8875,775.1,785.45
2/4/2022,776.825,763.6,731.6875,764.4625,737.15,743.475,740.8875,754.6875,757.5625,768.4875,671.3125,688.5625,662.975,707.5375,746.925,755.8375,721.625,775.1,786.025,781.1375,741.175,735.7125,771.9375,749.5125
2/5/2022,763.3125,743.7625,750.375,746.35,733.9875,743.7625,755.2625,780.275,784.3,815.0625,868.5375,848.9875,801.2625,824.8375,821.675,781.1375,779.125,795.225,773.0875,784.875,793.2125,792.0625,792.925,752.9625
2/6/2022,729.9625,743.7625,759.2875,759.8625,742.325,737.4375,743.7625,742.6125,746.35,758.1375,764.75,790.625,792.35,788.6125,756.9875,786.3125,728.525,760.725,760.4375,766.475,786.025,800.975,808.7375,797.2375
2/7/2022,790.05,779.4125,718.4625,685.975,733.9875,762.1625,743.1875,759.2875,780.85,798.9625,805.575,829.15,809.6,790.3375,773.375,798.3875,772.225,777.6875,790.9125,803.5625,779.125,788.6125,797.525,787.75
2/8/2022,760.4375,704.6625,660.675,649.4625,648.8875,712.425,691.15,707.825,751.8125,822.5375,805,770.2125,814.2,759,786.025,798.3875,786.8875,778.2625,811.0375,803.275,805.2875,792.0625,756.7,741.4625
2/9/2022,727.375,727.0875,724.7875,717.3125,713,748.9375,755.8375,806.4375,823.975,809.8875,885.7875,861.925,800.975,867.9625,876.0125,781.7125,847.8375,798.9625,824.8375,825.125,800.975,803.85,818.225,786.6
2/10/2022,785.7375,768.2,730.825,732.2625,777.1125,769.6375,786.025,798.9625,754.1125,707.25,738.875,782.575,820.525,797.2375,766.1875,797.525,815.0625,778.55,792.0625,808.1625,796.6625,793.2125,787.75,771.3625
2/11/2022,745.4875,698.05,688.5625,681.375,693.1625,740.8875,727.375,716.7375,792.0625,841.5125,788.6125,798.1,794.9375,828.8625,856.175,878.025,857.9,816.7875,817.3625,800.1125,799.25,803.5625,752.3875,718.75
2/12/2022,696.6125,687.4125,682.2375,681.0875,693.1625,771.65,764.75,769.6375,804.1375,818.225,824.8375,817.9375,795.8,787.75,822.25,807.875,811.325,782.8625,784.0125,801.55,798.675,799.825,782,791.2
2/13/2022,809.3125,755.8375,725.9375,728.8125,754.1125,769.6375,738.0125,736.2875,779.125,777.1125,789.475,770.2125,774.2375,803.5625,793.2125,787.75,775.3875,750.6625,729.9625,752.9625,736.2875,719.325,705.525,716.1625
2/14/2022,673.325,664.9875,661.25,664.7,754.1125,778.8375,714.4375,834.325,797.2375,819.95,834.6125,811.0375,794.65,783.15,787.4625,779.9875,769.0625,757.5625,754.1125,755.2625,754.975,744.05,727.0875,687.125
2/15/2022,664.9875,667,252.1375,471.2125,731.975,766.7625,761.5875,750.6625,784.0125,769.35,766.7625,722.4875,738.0125,763.6,828.8625,833.175,803.5625,774.8125,770.7875,780.85,764.4625,746.0625,736.575,722.2
2/16/2022,693.7375,690.8625,665.275,663.55,715.0125,716.45,700.0625,726.5125,757.85,748.075,749.225,745.4875,782.575,792.0625,802.4125,826.85,793.5,707.5375,683.3875,741.4625,730.25,748.65,753.825,748.3625
2/17/2022,707.25,672.4625,669.875,678.5,703.8,703.225,707.25,704.95,605.475,679.65,690.8625,679.3625,681.95,741.4625,725.075,764.75,772.8,781.1375,790.05,788.6125,761.875,764.75,755.2625,749.8
2/18/2022,708.6875,684.5375,675.3375,670.7375,721.9125,732.2625,737.725,750.375,803.275,806.725,821.9625,805.2875,773.0875,771.65,792.35,784.875,759.575,709.55,702.65,730.25,756.9875,755.2625,765.9,728.8125
2/19/2022,715.0125,708.6875,709.55,745.775,756.7,748.075,720.1875,743.7625,759,780.85,794.3625,815.0625,807.5875,806.725,812.1875,789.1875,800.4,793.5,778.55,790.05,775.675,790.3375,772.225,766.7625
2/20/2022,723.35,699.775,700.0625,692.875,739.45,749.225,737.725,686.8375,714.15,776.825,813.625,826.85,855.6,844.3875,838.6375,821.9625,798.1,800.975,811.9,817.3625,787.4625,768.4875,773.6625,716.1625
2/21/2022,733.7,723.35,747.2125,744.05,738.0125,745.775,729.675,774.8125,781.1375,785.45,796.6625,805.8625,812.475,725.9375,771.9375,744.625,756.7,763.8875,768.775,785.45,767.9125,752.9625,769.35,742.9
2/22/2022,710.7,736.8625,689.7125,649.175,683.3875,730.825,710.7,731.4,769.0625,794.9375,803.275,796.375,778.2625,779.125,796.6625,894.125,819.375,793.7875,801.55,828.2875,819.95,796.375,754.1125,744.05
2/23/2022,721.3375,694.6,695.175,694.6,733.125,720.1875,791.4875,822.825,842.0875,832.6,835.475,851,839.7875,849.85,849.5625,831.7375,789.475,774.2375,764.175,785.7375,768.2,778.8375,760.725,724.2125
2/24/2022,756.4125,725.65,686.55,682.8125,736.575,750.0875,749.5125,754.6875,790.05,858.1875,848.7,851,821.9625,801.2625,807.0125,855.025,832.8875,775.3875,761.0125,826.275,789.7625,790.3375,759.2875,729.1
2/25/2022,705.525,697.475,654.6375,637.9625,728.2375,730.25,797.8125,840.075,895.275,888.0875,808.7375,835.7625,829.4375,819.375,825.125,845.25,830.0125,781.425,795.225,794.65,783.725,777.6875,753.5375,760.15
2/26/2022,726.8,710.125,720.1875,684.5375,712.425,732.8375,767.3375,784.3,800.4,809.025,936.3875,897.8625,895.85,909.65,862.7875,870.2625,817.9375,754.4,771.3625,778.55,761.5875,717.025,711.85,687.9875
2/27/2022,696.6125,640.55,645.4375,647.7375,714.4375,724.5,697.475,694.3125,722.4875,741.75,722.775,724.5,772.8,784.875,793.2125,734.275,741.4625,730.825,709.55,728.2375,766.1875,750.0875,733.7,733.7
2/28/2022,732.8375,722.775,698.05,681.375,690.8625,742.6125,708.975,729.3875,778.2625,775.675,805,796.95,792.6375,780.85,834.9,301.0125,123.05,671.8875,763.3125,777.6875,759.2875,798.675,747.5,742.325
